problem_id,source,code,cleaned_code,num_chars,num_lines,avg_line_length,max_line_length,num_digits,num_empty_lines,num_whitespace,num_indents,num_method_declarations,num_break,num_continue,num_with,num_assert,num_except,num_not,num_or,num_and,num_none,num_in,num_yield,num_pass,num_raise,num_for,num_while,num_comparators,num_local_vars,avg_name_length,max_name_length,num_function_calls,num_loops,num_if_statements,num_return_statements,num_exceptions_raised,num_list_comprehensions,num_dict_comprehensions,num_set_comprehensions,num_imported_modules,num_list_operations,num_dict_operations,num_set_operations,num_lambda_functions,num_generator_expressions,num_attributes_accessed,cyclomatic_complexity,halstead_operators,halstead_operands,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_time,halstead_bugs
HumanEval/0,human,"    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
","for idx, elem in enumerate(numbers):
    for idx2, elem2 in enumerate(numbers):
        if idx != idx2:
            distance = abs(elem - elem2)
            if distance < threshold:
                return True

return False",223,8,30.857142857142858,42,4,1,100,80,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2,1,8.0,8,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,5,3,6,20.264662506490406,28.529325012980813,1.5,42.793987519471216,2.377443751081734,0.009509775004326938
HumanEval/1,human,"    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","result = []
current_string = []
current_depth = 0

for c in paren_string:
    if c == '(':
        current_depth += 1
        current_string.append(c)
    elif c == ')':
        current_depth -= 1
        current_string.append(c)

        if current_depth == 0:
            result.append(''.join(current_string))
            current_string.clear()

return result",362,17,24.714285714285715,50,4,3,151,128,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,3,11.0,14,5,1,3,1,0,0,0,0,0,2,0,0,0,0,5,5,3,6,20.264662506490406,47.548875021634686,2.5,118.87218755408671,6.604010419671484,0.01584962500721156
HumanEval/2,human,"    return number % 1.0
",return number % 1.0,19,1,19.0,19,2,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
HumanEval/3,human,"    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","balance = 0

for op in operations:
    balance += op
    if balance < 0:
        return True

return False",106,8,16.5,21,2,2,52,40,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,7.0,7,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,2,3,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.004643856189774725
HumanEval/4,human,"    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","mean = sum(numbers) / len(numbers)
return sum(abs(x - mean) for x in numbers) / len(numbers)",92,2,45.5,57,0,0,21,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4.0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,6,17.509775004326936,27.0,1.0,27.0,1.5,0.009
HumanEval/5,human,"    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
","if not numbers:
    return []

result = []

for n in numbers[:-1]:
    result.append(n)
    result.append(delimeter)

result.append(numbers[-1])

return result",159,12,18.5,28,2,4,53,44,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,6.0,6,3,1,1,2,0,0,0,0,0,2,0,0,0,0,3,3,2,2,4.0,12.0,1.5,18.0,1.0,0.004
HumanEval/6,human,"    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
","def parse_paren_group(s):
    depth = 0
    max_depth = 0
    for c in s:
        if c == '(':
            depth += 1
            max_depth = max(depth, max_depth)
        else:
            depth -= 1

    return max_depth

return [parse_paren_group(x) for x in paren_string.split(' ') if x]",291,13,25.363636363636363,67,4,2,139,112,1,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,1,2,7.0,9,3,1,1,2,0,1,0,0,0,0,0,0,1,0,1,3,3,4,12.75488750216347,25.26619429851844,2.25,56.848937171666485,3.158274287314805,0.008422064766172813
HumanEval/7,human,"    return [x for x in strings if substring in x]
",return [x for x in strings if substring in x],45,1,45.0,45,0,0,13,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,2,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
HumanEval/8,human,"    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
","sum_value = 0
prod_value = 1

for n in numbers:
    sum_value += n
    prod_value *= n
return sum_value, prod_value",115,7,18.166666666666668,28,2,1,45,32,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,9.5,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.004643856189774725
HumanEval/9,human,"    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
","running_max = None
result = []

for n in numbers:
    if running_max is None:
        running_max = n
    else:
        running_max = max(running_max, n)

    result.append(running_max)

return result",200,12,21.0,41,0,3,80,64,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,2,8.5,11,2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,3,1,2,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
