source,milestone,name,style,version,file_name,code
intervene,m0,dennis,,,Barrier.java,"package thkoeln.st.st2praktikum.exercise;

public class Barrier {

    private int startX;
    private int startY;
    private int endX;
    private int endY;
    private BarrierType barrierType;

    public Barrier(String barrierString) {
        String[] coords = barrierString.split(""-"");
        this.startX = Integer.parseInt(coords[0].substring(1, 2));
        this.startY = Integer.parseInt(coords[0].substring(3, 4));
        this.endX = Integer.parseInt(coords[1].substring(1, 2));
        this.endY = Integer.parseInt(coords[1].substring(3, 4));
        if (startX > endX) {
            int tmp = startX;
            startX = endX;
            endX = tmp;
        }
        if (startY > endY) {
            int tmp = startY;
            startY = endY;
            endY = tmp;
        }
        if (startX == endX) {
            this.barrierType = BarrierType.VERTICAL;
        } else {
            this.barrierType = BarrierType.HORIZONTAL;
        }
    }

    public boolean willHitBarrier(int currentX, int currentY, String direction) {
        switch (direction) {
            case ""ea"":
                return willHitBarrierWhenMovingHorizontally(currentX, currentY, currentX + 1);
            case ""we"":
                return willHitBarrierWhenMovingHorizontally(currentX, currentY, currentX - 1);
            case ""no"":
                return willHitBarrierWhenMovingVertically(currentX, currentY,  currentY + 1);
            case ""so"":
                return willHitBarrierWhenMovingVertically(currentX, currentY,  currentY - 1);
            default:
                throw new IllegalArgumentException(""Invalid direction String"");
        }
    }

    /**
     * Checks whether the MiningMachine will hit this barrier when moving north or south
     * @param currentX current X position of the MiningMachine
     * @param currentY current Y position of the MiningMachine
     * @param nextY next Y position of the MiningMachine
     * @return true if it will hit the Barrier, otherwise false
     */
    private boolean willHitBarrierWhenMovingVertically(int currentX, int currentY, int nextY) {
        if (barrierType.isVertical()) return false;

        if (currentX < startX || currentX >= endX) return false;

        return (nextY < startY && currentY >= startY) || (nextY >= startY && currentY < startY);
    }

    /**
     * Checks whether the MiningMachine will hit this barrier when moving east or west
     * @param currentX current X position of the MiningMachine
     * @param currentY current Y position of the MiningMachine
     * @param nextX next X position of the MiningMachine
     * @return true if it will hit the Barrier, otherwise false
     */
    private boolean willHitBarrierWhenMovingHorizontally(int currentX, int currentY, int nextX) {
        if (barrierType.isHorizontal()) return false;

        if (currentY < startY || currentY >= endY) return false;

        return (nextX < startX && currentX >= startX) || (nextX >= startX && currentX < startX);
    }
}"
intervene,m0,dennis,,,BarrierType.java,"package thkoeln.st.st2praktikum.exercise;

import lombok.Getter;

@Getter
public enum BarrierType {
    HORIZONTAL(true, false), VERTICAL(false, true);

    private final boolean isHorizontal;
    private final boolean isVertical;

    BarrierType(boolean isHorizontal, boolean isVertical){
        this.isHorizontal = isHorizontal;
        this.isVertical = isVertical;
    }

}
"
intervene,m0,dennis,,,Exercise0.java,"package thkoeln.st.st2praktikum.exercise;

import java.util.ArrayList;
import java.util.List;

public class Exercise0 implements GoAble {
    private int x = 4;
    private int y = 0;
    private List<Barrier> barriers = new ArrayList<Barrier>();
    private int fieldWidth = 11;
    private int fieldHeight = 8;

    public Exercise0() {
        // Add the barriers to the list
        barriers.add(new Barrier(""(1,0)-(1,6)""));
        barriers.add(new Barrier(""(1,6)-(4,6)""));
        barriers.add(new Barrier(""(5,6)-(7,6)""));
        barriers.add(new Barrier(""(7,1)-(7,6)""));
    }

    @Override
    public String go(String goCommandString) {
        String[] goCommand = goCommandString.replaceAll(""[\\[\\]]"", """").split("","");
        String direction = goCommand[0];
        int steps = Integer.parseInt(goCommand[1]);

        for (int i = 0; i < steps; i++) {
            int nextX = x;
            int nextY = y;

            switch (direction) {
                case ""no"":
                    nextY += 1;
                    break;
                case ""so"":
                    nextY -= 1;
                    break;
                case ""we"":
                    nextX -= 1;
                    break;
                case ""ea"":
                    nextX += 1;
                    break;
                default:
                    throw new IllegalArgumentException(""Invalid direction String"");
            }

            // Check if the mining machine goes out of bounds
            if (nextX < 0 || nextX >= fieldWidth || nextY < 0 || nextY >= fieldHeight) {
                // Mining machine goes out of bounds, stay at current position
                return ""("" + x + "","" + y + "")"";
            }

            // Check if the next step hits a barrier
            for (Barrier barrier : barriers) {
                if (barrier.willHitBarrier(x, y, direction)) {
                    // Barrier will be hit, stay at current position
                    return ""("" + x + "","" + y + "")"";
                }
            }

            // Move to the next position
            x = nextX;
            y = nextY;

        }

        return ""("" + x + "","" + y + "")"";
    }

}"
intervene,m0,dennis,,,GoAble.java,"package thkoeln.st.st2praktikum.exercise;

public interface GoAble {
    String go(String goCommandString);
}
"
intervene,m0,natasha1,,,Exercise0.java,"package thkoeln.st.st2praktikum.exercise;

import java.awt.Point;
import java.util.ArrayList;
import java.util.List;

public class Exercise0 implements GoAble {

    private Point droidLocation;
    private final int maxX;
    private final int maxY;
    private final List<Point[]> obstaclePairs;

    public Exercise0() {
        this.droidLocation = new Point(11, 7);
        this.maxX = 11;
        this.maxY = 7;

        // Initialize obstacle pairs
        this.obstaclePairs = new ArrayList<>();
        generateObstaclePairs(new Point(6,2), new Point(6,5));
        generateObstaclePairs(new Point(5,5), new Point(6,5));
        generateObstaclePairs(new Point(5,5), new Point(5,6));
        generateObstaclePairs(new Point(5,6), new Point(12,6));
    }

    @Override
    public String goTo(String goCommandString) {
        // Remove brackets and split command into direction and steps
        String[] commands = goCommandString.replace(""["", """").replace(""]"", """").split("","");
        String direction = commands[0];
        int steps = Integer.parseInt(commands[1]);

        // Determine new position based on direction
        for (int i = 0; i < steps; i++) {
            Point newLocation = new Point(droidLocation);
            switch (direction) {
                case ""no"": newLocation.y++; break;
                case ""ea"": newLocation.x++; break;
                case ""so"": newLocation.y--; break;
                case ""we"": newLocation.x--; break;
            }

            // Check if new location is valid
            if (isValidMovement(droidLocation, newLocation)) {
                droidLocation = newLocation;
            } else {
                break;
            }
        }

        // Return new location
        return ""("" + droidLocation.x + "","" + droidLocation.y + "")"";
    }

    private boolean isValidMovement(Point oldLocation, Point newLocation) {
        // Check if location is within boundaries
        if (newLocation.x < 0 || newLocation.x > maxX || newLocation.y < 0 || newLocation.y > maxY) {
            return false;
        }

        // Check if the new location is an obstacle
        for (Point[] obstaclePair : obstaclePairs) {
            if (oldLocation.equals(obstaclePair[0]) && newLocation.equals(obstaclePair[1]) ||
                    oldLocation.equals(obstaclePair[1]) && newLocation.equals(obstaclePair[0])) {
                return false;
            }
        }

        return true;
    }

    private void generateObstaclePairs(Point start, Point end) {
        if(start.x == end.x) {
            // Vertical obstacle
            for(int i = start.y; i < end.y; i++) {
                obstaclePairs.add(new Point[]{new Point(start.x - 1, i), new Point(start.x, i)});
            }
        } else if(start.y == end.y) {
            // Horizontal obstacle
            for(int i = start.x; i < end.x; i++) {
                obstaclePairs.add(new Point[]{new Point(i, start.y - 1), new Point(i, start.y)});
            }
        }
    }
}"
intervene,m0,natasha1,,,GoAble.java,"package thkoeln.st.st2praktikum.exercise;

public interface GoAble {
    String goTo(String goCommandString);
}
"
intervene,m0,natasha2,,,Exercise0.java,"package thkoeln.st.st2praktikum.exercise;

import java.util.*;

public class Exercise0 implements GoAble {

    private int x, y;
    private final int width, height;
    private final Set<String> invalidMoves;

    public Exercise0() {
        // droid initial position
        this.x = 11;
        this.y = 7;

        // spaceship deck dimensions
        this.width = 12;
        this.height = 8;

        // obstacles
        int[][][] obstacles = {
                {{6, 2}, {6, 5}},
                {{5, 5}, {6, 5}},
                {{5, 5}, {5, 6}},
                {{5, 6}, {12, 6}}
        };

        // generate invalid moves
        this.invalidMoves = new HashSet<>();
        for (int[][] obstacle : obstacles) {
            invalidMoves.addAll(generateObstaclePairs(obstacle));
        }
    }

    private List<String> generateObstaclePairs(int[][] obstacle) {
        List<String> obstaclePairs = new ArrayList<>();

        int startX = obstacle[0][0];
        int startY = obstacle[0][1];
        int endX = obstacle[1][0];
        int endY = obstacle[1][1];

        // Vertical obstacle
        if (startX == endX) {
            int minY = Math.min(startY, endY);
            int maxY = Math.max(startY, endY);

            for (int y = minY; y < maxY; y++) {
                obstaclePairs.add((startX - 1) + "","" + y + ""-"" + startX + "","" + y);
                obstaclePairs.add(startX + "","" + y + ""-"" + (startX - 1) + "","" + y);
            }
        }
        // Horizontal obstacle
        else if (startY == endY) {
            int minX = Math.min(startX, endX);
            int maxX = Math.max(startX, endX);

            for (int x = minX; x < maxX; x++) {
                obstaclePairs.add(x + "","" + (startY - 1) + ""-"" + x + "","" + startY);
                obstaclePairs.add(x + "","" + startY + ""-"" + x + "","" + (startY - 1));
            }
        }

        return obstaclePairs;
    }

    @Override
    public String goTo(String goCommandString) {
        // remove brackets and split by comma
        String[] command = goCommandString.substring(1, goCommandString.length() - 1).split("","");
        String direction = command[0];
        int steps = Integer.parseInt(command[1]);

        for (int i = 0; i < steps; i++) {
            int oldX = x, oldY = y;

            switch (direction) {
                case ""no"":
                    if (y + 1 < height) y++;
                    break;
                case ""ea"":
                    if (x + 1 < width) x++;
                    break;
                case ""so"":
                    if (y - 1 >= 0) y--;
                    break;
                case ""we"":
                    if (x - 1 >= 0) x--;
                    break;
            }

            if (!isValidMove(oldX, oldY, x, y)) {
                x = oldX;
                y = oldY;
                break;
            }
        }

        return ""("" + x + "","" + y + "")"";
    }

    private boolean isValidMove(int oldX, int oldY, int newX, int newY) {
        String move = oldX + "","" + oldY + ""-"" + newX + "","" + newY;
        return !invalidMoves.contains(move);
    }
}
"
intervene,m0,natasha2,,,GoAble.java,"package thkoeln.st.st2praktikum.exercise;

public interface GoAble {
    String goTo(String goCommandString);
}
"
intervene,m0,natasha3,,,Barrier.java,"package thkoeln.st.st2praktikum.exercise;

class Barrier {
    Position start, end;
    String orientation;

    Barrier(Position start, Position end) {
        this.start = start;
        this.end = end;
        this.orientation = start.x == end.x ? ""vertical"" : ""horizontal"";
    }

    public boolean intersects(Position a, Position b, String direction) {
        if (orientation.equals(""vertical"")) {
            if (direction.equals(""ea"") && a.x < start.x && b.x == start.x) {
                return Math.min(start.y, end.y) <= a.y && a.y < Math.max(start.y, end.y);
            }
            if (direction.equals(""we"") && a.x == start.x && b.x < start.x) {
                return Math.min(start.y, end.y) <= a.y && a.y < Math.max(start.y, end.y);
            }
        }
        else {
            if (direction.equals(""no"") && a.y < start.y && b.y == start.y) {
                return Math.min(start.x, end.x) <= a.x && a.x < Math.max(start.x, end.x);
            }
            if (direction.equals(""so"") && a.y == start.y && b.y < start.y) {
                return Math.min(start.x, end.x) <= a.x && a.x < Math.max(start.x, end.x);
            }
        }
        return false;
    }
}

"
intervene,m0,natasha3,,,Exercise0.java,"package thkoeln.st.st2praktikum.exercise;
import java.util.*;

public class Exercise0 implements Moveable {
    private Position position;
    private Set<Barrier> barriers;

    public Exercise0() {
        this.position = new Position(7, 7);

        this.barriers = new HashSet<>();
        barriers.add(new Barrier(new Position(2, 1), new Position(10, 1)));
        barriers.add(new Barrier(new Position(2, 1), new Position(2, 6)));
        barriers.add(new Barrier(new Position(2, 6), new Position(7, 6)));
        barriers.add(new Barrier(new Position(10, 1), new Position(10, 8)));
    }

    public String move(String moveCommandString) {
        String[] command = moveCommandString.substring(1, moveCommandString.length() - 1).split("","");
        String direction = command[0];
        int steps = Integer.parseInt(command[1]);

        switch (direction) {
            case ""no"":
                for (int i = 0; i < steps; i++) {
                    Position nextPosition = new Position(position.x, position.y + 1);
                    if (nextPosition.y < 8 && !barrierInPath(position, nextPosition, ""no"")) {
                        position = nextPosition;
                    }
                }
                break;
            case ""ea"":
                for (int i = 0; i < steps; i++) {
                    Position nextPosition = new Position(position.x + 1, position.y);
                    if (nextPosition.x < 11 && !barrierInPath(position, nextPosition, ""ea"")) {
                        position = nextPosition;
                    }
                }
                break;
            case ""so"":
                for (int i = 0; i < steps; i++) {
                    Position nextPosition = new Position(position.x, position.y - 1);
                    if (nextPosition.y >= 0 && !barrierInPath(position, nextPosition, ""so"")) {
                        position = nextPosition;
                    }
                }
                break;
            case ""we"":
                for (int i = 0; i < steps; i++) {
                    Position nextPosition = new Position(position.x - 1, position.y);
                    if (nextPosition.x >= 0 && !barrierInPath(position, nextPosition, ""we"")) {
                        position = nextPosition;
                    }
                }
                break;
        }

        return position.toString();
    }

    private boolean barrierInPath(Position start, Position end, String direction) {
        for (Barrier barrier : barriers) {
            if (direction.equals(""no"") || direction.equals(""so"")) {
                if (barrier.orientation.equals(""horizontal"") && barrier.intersects(start, end, direction)) {
                    return true;
                }
            } else {
                if (barrier.orientation.equals(""vertical"") && barrier.intersects(start, end, direction)) {
                    return true;
                }
            }
        }
        return false;
    }

}"
