source,style,version,code
gpt3.5,plain,,"package thkoeln.st.st2praktikum.exercise;

public class Exercise0 implements GoAble {
    private int x; // current x-coordinate
    private int y; // current y-coordinate
    private int[][] obstacles; // array to store obstacle coordinates

    // Constructor
    public Exercise0() {
        x = 11; // starting x-coordinate
        y = 7; // starting y-coordinate
        // Initialize obstacle coordinates
        obstacles = new int[][]{{6, 2, 6, 5}, {5, 5, 6, 5}, {5, 5, 5, 6}, {5, 6, 12, 6}};
    }

    @Override
    public String goTo(String goCommandString) {
        // Parse goCommandString to extract direction and steps
        String direction = goCommandString.substring(1, 3);
        int steps = Integer.parseInt(goCommandString.substring(4, goCommandString.length() - 1));

        // Update coordinates based on direction and steps
        switch (direction) {
            case ""no"": // Move north
                for (int i = 0; i < steps; i++) {
                    if (isObstacle(x, y + 1)) { // Check for obstacle
                        break;
                    }
                    y++;
                }
                break;
            case ""ea"": // Move east
                for (int i = 0; i < steps; i++) {
                    if (isObstacle(x + 1, y)) { // Check for obstacle
                        break;
                    }
                    x++;
                }
                break;
            case ""so"": // Move south
                for (int i = 0; i < steps; i++) {
                    if (isObstacle(x, y - 1)) { // Check for obstacle
                        break;
                    }
                    y--;
                }
                break;
            case ""we"": // Move west
                for (int i = 0; i < steps; i++) {
                    if (isObstacle(x - 1, y)) { // Check for obstacle
                        break;
                    }
                    x--;
                }
                break;
            default:
                throw new IllegalArgumentException(""Invalid direction: "" + direction);
        }

        // Clamp coordinates within spaceship deck boundaries
        x = Math.max(0, Math.min(x, 11));
        y = Math.max(0, Math.min(y, 7));

        // Return current coordinates as string
        return ""("" + x + "","" + y + "")"";
    }

    // Helper method to check if given coordinates are part of an obstacle
    private boolean isObstacle(int x, int y) {
        for (int[] obstacle : obstacles) {
            if (x >= obstacle[0] && x <= obstacle[2] && y >= obstacle[1] && y <= obstacle[3]) {
                return true;
            }
        }
        return false;
    }
}
package thkoeln.st.st2praktikum.exercise;

public interface GoAble {
    String goTo(String goCommandString);
}
"
gpt3.5,plain,,"package thkoeln.st.st2praktikum.exercise;

public class Exercise0 implements GoAble {
    // Define the size of the spaceship deck
    private static final int WIDTH = 12;
    private static final int HEIGHT = 8;

    // Define the locations of the obstacles
    private static final int[][] OBSTACLES = {
            {6, 2, 6, 5},
            {5, 5, 6, 5},
            {5, 5, 5, 6},
            {5, 6, 12, 6}
    };

    // Define the initial position of the maintenance droid
    private int x = 11;
    private int y = 7;

    @Override
    public String goTo(String goCommandString) {
        // Parse the command string
        String[] parts = goCommandString.replaceAll(""[\\[\\]]"", """").split("","");
        String direction = parts[0];
        int steps = Integer.parseInt(parts[1]);

        // Move the maintenance droid in the specified direction
        switch (direction) {
            case ""no"":
                y += steps;
                break;
            case ""ea"":
                x += steps;
                break;
            case ""so"":
                y -= steps;
                break;
            case ""we"":
                x -= steps;
                break;
        }

        // Check for collisions with obstacles or the spaceship deck boundary
        for (int[] obstacle : OBSTACLES) {
            if (x >= obstacle[0] && x <= obstacle[2] && y >= obstacle[1] && y <= obstacle[3]) {
                // Collision detected, adjust the position of the droid
                if (direction.equals(""no"")) {
                    y = obstacle[1] - 1;
                } else if (direction.equals(""ea"")) {
                    x = obstacle[0] - 1;
                } else if (direction.equals(""so"")) {
                    y = obstacle[3] + 1;
                } else if (direction.equals(""we"")) {
                    x = obstacle[2] + 1;
                }
                break;
            }
        }

        // Check if the maintenance droid has moved out of the spaceship deck boundary
        if (x < 0) {
            x = 0;
        } else if (x >= WIDTH) {
            x = WIDTH - 1;
        }
        if (y < 0) {
            y = 0;
        } else if (y >= HEIGHT) {
            y = HEIGHT - 1;
        }

        // Return the current position of the maintenance droid
        return ""("" + x + "","" + y + "")"";
    }
}

package thkoeln.st.st2praktikum.exercise;

public interface GoAble {
    String goTo(String goCommandString);
}
"
gpt3.5,cc,,"package thkoeln.st.st2praktikum.exercise;

import java.util.Arrays;
import java.util.List;

public class Exercise0 implements GoAble {

    private static final int GRID_WIDTH = 12;
    private static final int GRID_HEIGHT = 8;
    private static final int[][] OBSTACLES = {{6, 2, 6, 5}, {5, 5, 6, 5}, {5, 5, 5, 6}, {5, 6, 12, 6}};
    private static final int[][] DIRECTIONS = {{0, 1}, {1, 0}, {0, -1}, {-1, 0}};

    private int[] position = {11, 7};

    public String goTo(String goCommandString) throws IllegalArgumentException {
        int[] newPosition = Arrays.copyOf(position, position.length);
        String[] goCommand = goCommandString.replaceAll(""[^A-Za-z0-9]"", """").split(""(?<=\\D)(?=\\d)|(?<=\\d)(?=\\D)"");

        if (goCommand.length != 2) {
            throw new IllegalArgumentException(""Invalid command: "" + goCommandString);
        }

        int steps = Integer.parseInt(goCommand[1]);
        int directionIndex = getDirectionIndex(goCommand[0]);

        while (steps > 0) {
            int[] nextPosition = Arrays.copyOf(newPosition, newPosition.length);
            nextPosition[0] += DIRECTIONS[directionIndex][0];
            nextPosition[1] += DIRECTIONS[directionIndex][1];

            if (isOutOfBounds(nextPosition) || collidesWithObstacle(newPosition, nextPosition)) {
                break;
            }

            newPosition = nextPosition;
            steps--;
        }

        position = newPosition;
        return ""("" + position[0] + "","" + position[1] + "")"";
    }

    private boolean isOutOfBounds(int[] position) {
        return position[0] < 0 || position[0] >= GRID_WIDTH || position[1] < 0 || position[1] >= GRID_HEIGHT;
    }

    private boolean collidesWithObstacle(int[] currentPosition, int[] nextPosition) {
        for (int[] obstacle : OBSTACLES) {
            if (currentPosition[0] == nextPosition[0] && currentPosition[0] == obstacle[0]
                    && obstacle[1] <= Math.max(currentPosition[1], nextPosition[1]) && obstacle[3] >= Math.min(currentPosition[1], nextPosition[1])) {
                return true;
            }
            if (currentPosition[1] == nextPosition[1] && currentPosition[1] == obstacle[1]
                    && obstacle[0] <= Math.max(currentPosition[0], nextPosition[0]) && obstacle[2] >= Math.min(currentPosition[0], nextPosition[0])) {
                return true;
            }
        }
        return false;
    }

    private int getDirectionIndex(String direction) throws IllegalArgumentException {
        List<String> directions = Arrays.asList(""no"", ""ea"", ""so"", ""we"");
        int directionIndex = directions.indexOf(direction.toLowerCase());
        if (directionIndex == -1) {
            throw new IllegalArgumentException(""Invalid direction: "" + direction);
        }
        return directionIndex;
    }
}

package thkoeln.st.st2praktikum.exercise;

public interface GoAble {
    String goTo(String goCommandString);
}
"
gpt3.5,cc,,"package thkoeln.st.st2praktikum.exercise;

public class Exercise0 implements GoAble {
    private static final int WIDTH = 12;
    private static final int HEIGHT = 8;
    private static final int[][] OBSTACLES = {{6,2,6,5}, {5,5,6,5}, {5,5,5,6}, {5,6,12,6}};
    private static final int[][] DIRECTIONS = {{0,1}, {1,0}, {0,-1}, {-1,0}}; // {dx, dy} for each direction
    private int x;
    private int y;

    public Exercise0() {
        this.x = 11;
        this.y = 7;
    }

    public String goTo(String goCommandString) {
        String[] commandParts = goCommandString.replaceAll(""[\\[\\]]"", """").split("","");
        int directionIndex = getDirectionIndex(commandParts[0]);
        int steps = Integer.parseInt(commandParts[1]);

        int dx = DIRECTIONS[directionIndex][0];
        int dy = DIRECTIONS[directionIndex][1];

        for (int i = 0; i < steps; i++) {
            int newX = x + dx;
            int newY = y + dy;
            boolean obstacleHit = false;

            // Check if new position hits an obstacle or boundary
            for (int[] obstacle : OBSTACLES) {
                if (dx == 0 && obstacle[0] <= newX && newX <= obstacle[2] && obstacle[1] <= y && y <= obstacle[3]) {
                    newX = obstacle[0] - 1;
                    obstacleHit = true;
                } else if (dy == 0 && obstacle[1] <= newY && newY <= obstacle[3] && obstacle[0] <= x && x <= obstacle[2]) {
                    newY = obstacle[1] - 1;
                    obstacleHit = true;
                }
            }
            if (newX < 0) newX = 0;
            if (newX >= WIDTH) newX = WIDTH - 1;
            if (newY < 0) newY = 0;
            if (newY >= HEIGHT) newY = HEIGHT - 1;

            if (obstacleHit) {
                break; // Stop if obstacle hit
            } else {
                x = newX;
                y = newY;
            }
        }

        return ""("" + (x+1) + "","" + (y+1) + "")"";
    }

    private int getDirectionIndex(String direction) {
        switch (direction) {
            case ""no"":
                return 0;
            case ""ea"":
                return 1;
            case ""so"":
                return 2;
            case ""we"":
                return 3;
            default:
                throw new IllegalArgumentException(""Invalid direction: "" + direction);
        }
    }
}
package thkoeln.st.st2praktikum.exercise;

public interface GoAble {
    String goTo(String goCommandString);
}
"
gpt3.5,cc,,"package thkoeln.st.st2praktikum.exercise;

import java.util.Arrays;
import java.util.List;

public class Exercise0 implements GoAble {

    private static final int GRID_WIDTH = 12;
    private static final int GRID_HEIGHT = 8;
    private static final int[][] OBSTACLES = {{6, 2, 6, 5}, {5, 5, 6, 5}, {5, 5, 5, 6}, {5, 6, 12, 6}};
    private static final int[][] DIRECTIONS = {{0, 1}, {1, 0}, {0, -1}, {-1, 0}};

    private int[] position = {11, 7};

    public String goTo(String goCommandString) throws IllegalArgumentException {
        int[] newPosition = Arrays.copyOf(position, position.length);
        String[] goCommand = goCommandString.replaceAll(""[^A-Za-z0-9]"", """").split(""(?<=\\D)(?=\\d)|(?<=\\d)(?=\\D)"");

        if (goCommand.length != 2) {
            throw new IllegalArgumentException(""Invalid command: "" + goCommandString);
        }

        int steps = Integer.parseInt(goCommand[1]);
        int directionIndex = getDirectionIndex(goCommand[0]);

        while (steps > 0) {
            int[] nextPosition = Arrays.copyOf(newPosition, newPosition.length);
            nextPosition[0] += DIRECTIONS[directionIndex][0];
            nextPosition[1] += DIRECTIONS[directionIndex][1];

            if (isOutOfBounds(nextPosition) || collidesWithObstacle(newPosition, nextPosition)) {
                break;
            }

            newPosition = nextPosition;
            steps--;
        }

        position = newPosition;
        return ""("" + position[0] + "","" + position[1] + "")"";
    }

    private boolean isOutOfBounds(int[] position) {
        return position[0] < 0 || position[0] >= GRID_WIDTH || position[1] < 0 || position[1] >= GRID_HEIGHT;
    }

    private boolean collidesWithObstacle(int[] currentPosition, int[] nextPosition) {
        for (int[] obstacle : OBSTACLES) {
            if (currentPosition[0] == nextPosition[0] && currentPosition[0] == obstacle[0]
                    && obstacle[1] <= Math.max(currentPosition[1], nextPosition[1]) && obstacle[3] >= Math.min(currentPosition[1], nextPosition[1])) {
                return true;
            }
            if (currentPosition[1] == nextPosition[1] && currentPosition[1] == obstacle[1]
                    && obstacle[0] <= Math.max(currentPosition[0], nextPosition[0]) && obstacle[2] >= Math.min(currentPosition[0], nextPosition[0])) {
                return true;
            }
        }
        return false;
    }

    private int getDirectionIndex(String direction) throws IllegalArgumentException {
        List<String> directions = Arrays.asList(""no"", ""ea"", ""so"", ""we"");
        int directionIndex = directions.indexOf(direction.toLowerCase());
        if (directionIndex == -1) {
            throw new IllegalArgumentException(""Invalid direction: "" + direction);
        }
        return directionIndex;
    }
}

package thkoeln.st.st2praktikum.exercise;

public interface GoAble {
    String goTo(String goCommandString);
}
"
gpt3.5,cc,,"package thkoeln.st.st2praktikum.exercise;

import java.util.Arrays;
import java.util.List;

public class Exercise0 implements GoAble {

    private final int SPACESHIP_WIDTH = 12;
    private final int SPACESHIP_HEIGHT = 8;

    private final List<int[]> OBSTACLES = Arrays.asList(
            new int[]{6, 2, 6, 5},
            new int[]{5, 5, 6, 5},
            new int[]{5, 5, 5, 6},
            new int[]{5, 6, 12, 6}
    );

    private int[] droidPosition = new int[]{11, 7};

    @Override
    public String goTo(String goCommandString) throws IllegalArgumentException {
        int[] newDroidPosition = Arrays.copyOf(droidPosition, droidPosition.length);
        String[] goCommand = parseCommand(goCommandString);

        int steps = Integer.parseInt(goCommand[1]);

        switch (goCommand[0]) {
            case ""no"":
                newDroidPosition[1] += steps;
                break;
            case ""ea"":
                newDroidPosition[0] += steps;
                break;
            case ""so"":
                newDroidPosition[1] -= steps;
                break;
            case ""we"":
                newDroidPosition[0] -= steps;
                break;
            default:
                throw new IllegalArgumentException(""Invalid direction: "" + goCommand[0]);
        }

        if (isPositionOutOfBounds(newDroidPosition)) {
            throw new IllegalArgumentException(""New position is out of bounds: "" + Arrays.toString(newDroidPosition));
        }

        if (doesIntersectObstacle(newDroidPosition)) {
            return formatCoordinateString(droidPosition);
        } else {
            droidPosition = newDroidPosition;
            return formatCoordinateString(droidPosition);
        }
    }

    private boolean doesIntersectObstacle(int[] position) {
        for (int[] obstacle : OBSTACLES) {
            if (doesOverlap(obstacle, position)) {
                return true;
            }
        }
        return false;
    }

    private boolean doesOverlap(int[] obstacle, int[] position) {
        // Obstacle is horizontal and overlaps with position
        if (obstacle[1] == obstacle[3] && obstacle[1] == position[1] && position[0] >= obstacle[0] && position[0] <= obstacle[2]) {
            return true;
        }
        // Obstacle is vertical and overlaps with position
        if (obstacle[0] == obstacle[2] && obstacle[0] == position[0] && position[1] >= obstacle[1] && position[1] <= obstacle[3]) {
            return true;
        }
        return false;
    }

    private boolean isPositionOutOfBounds(int[] position) {
        return position[0] < 0 || position[0] >= SPACESHIP_WIDTH || position[1] < 0 || position[1] >= SPACESHIP_HEIGHT;
    }

    private String[] parseCommand(String commandString) throws IllegalArgumentException {
        String[] command = commandString.replaceAll(""\\[|\\]"", """").split("","");
        if (command.length != 2) {
            throw new IllegalArgumentException(""Invalid command: "" + commandString);
        }
        return command;
    }

    private String formatCoordinateString(int[] coordinate) {
        return String.format(""(%d,%d)"", coordinate[0], coordinate[1]);
    }
}

package thkoeln.st.st2praktikum.exercise;

public interface GoAble {
    String goTo(String goCommandString);
}
"
gpt3.5,styled,,"package thkoeln.st.st2praktikum.exercise;

public class Exercise0 implements GoAble {

    private int x = 11;
    private int y = 7;

    private final int deckWidth = 12;
    private final int deckHeight = 8;

    private final int[][] obstacles = {{6,2,6,5}, {5,5,6,5}, {5,5,5,6}, {5,6,12,6}};

    public String goTo(String goCommandString) {
        String[] command = goCommandString.replaceAll(""[\\[\\]]"", """").split("","");

        String direction = command[0];
        int steps = Integer.parseInt(command[1]);

        switch (direction) {
            case ""no"":
                for (int i = 0; i < steps; i++) {
                    if (y+1 >= deckHeight) break;
                    boolean isObstacle = checkObstacles(x, y+1);
                    if (isObstacle) break;
                    y++;
                }
                break;
            case ""ea"":
                for (int i = 0; i < steps; i++) {
                    if (x+1 >= deckWidth) break;
                    boolean isObstacle = checkObstacles(x+1, y);
                    if (isObstacle) break;
                    x++;
                }
                break;
            case ""so"":
                for (int i = 0; i < steps; i++) {
                    if (y-1 < 0) break;
                    boolean isObstacle = checkObstacles(x, y-1);
                    if (isObstacle) break;
                    y--;
                }
                break;
            case ""we"":
                for (int i = 0; i < steps; i++) {
                    if (x-1 < 0) break;
                    boolean isObstacle = checkObstacles(x-1, y);
                    if (isObstacle) break;
                    x--;
                }
                break;
            default:
                System.out.println(""Invalid direction"");
                break;
        }

        return ""("" + x + "","" + y + "")"";
    }

    private boolean checkObstacles(int x2, int y2) {
        for (int[] obstacle : obstacles) {
            int x1 = obstacle[0];
            int y1 = obstacle[1];
            int x3 = obstacle[2];
            int y3 = obstacle[3];

            if (x2 >= x1 && x2 <= x3 && y2 >= y1 && y2 <= y3) {
                return true;
            }
        }

        return false;
    }
}

package thkoeln.st.st2praktikum.exercise;

public interface GoAble {
    String goTo(String goCommandString);
}
"
gpt3.5,styled,,"package thkoeln.st.st2praktikum.exercise;

public class Exercise0 implements GoAble {

    // values for the spaceship deck size and obstacle locations
    private final int WIDTH = 12;
    private final int HEIGHT = 8;
    private final int[][] OBSTACLES = {{6, 2, 6, 5}, {5, 5, 6, 5}, {5, 5, 5, 6}, {5, 6, 12, 6}};

    // initial position for the maintenance droid
    private int x = 11;
    private int y = 7;

    @Override
    public String goTo(String goCommandString) {
        // parse the goCommandString to get the direction and number of steps
        String direction = goCommandString.substring(1, 3);
        int steps = Integer.parseInt(goCommandString.substring(4, goCommandString.length() - 1));

        // update the position of the maintenance droid based on the given direction and number of steps
        switch (direction) {
            case ""no"":
                for (int i = 0; i < steps; i++) {
                    if (y + 1 >= HEIGHT) break;
                    boolean obstacleDetected = false;
                    for (int[] obstacle : OBSTACLES) {
                        if (obstacle[0] <= x && x <= obstacle[2] && obstacle[1] == y + 1) {
                            obstacleDetected = true;
                            break;
                        }
                    }
                    if (obstacleDetected) break;
                    y++;
                }
                break;
            case ""ea"":
                for (int i = 0; i < steps; i++) {
                    if (x + 1 >= WIDTH) break;
                    boolean obstacleDetected = false;
                    for (int[] obstacle : OBSTACLES) {
                        if (obstacle[1] <= y && y <= obstacle[3] && obstacle[0] == x + 1) {
                            obstacleDetected = true;
                            break;
                        }
                    }
                    if (obstacleDetected) break;
                    x++;
                }
                break;
            case ""so"":
                for (int i = 0; i < steps; i++) {
                    if (y - 1 < 0) break;
                    boolean obstacleDetected = false;
                    for (int[] obstacle : OBSTACLES) {
                        if (obstacle[0] <= x && x <= obstacle[2] && obstacle[3] == y - 1) {
                            obstacleDetected = true;
                            break;
                        }
                    }
                    if (obstacleDetected) break;
                    y--;
                }
                break;
            case ""we"":
                for (int i = 0; i < steps; i++) {
                    if (x - 1 < 0) break;
                    boolean obstacleDetected = false;
                    for (int[] obstacle : OBSTACLES) {
                        if (obstacle[1] <= y && y <= obstacle[3] && obstacle[2] == x - 1) {
                            obstacleDetected = true;
                            break;
                        }
                    }
                    if (obstacleDetected) break;
                    x--;
                }
                break;
        }

        // return the new position of the maintenance droid
        return ""("" + x + "","" + y + "")"";
    }
}

package thkoeln.st.st2praktikum.exercise;

public interface GoAble {
    String goTo(String goCommandString);
}
"
gpt3.5,styled,,"package thkoeln.st.st2praktikum.exercise;

public class Exercise0 implements GoAble{
    private int robotX = 11;
    private int robotY = 7;
    private int gridWidth = 12;
    private int gridHeight = 8;
    private int[][] obstacles = {{6,2,6,5},{5,5,6,5},{5,5,5,6},{5,6,12,6}};

    public String goTo(String goCommandString) {
        String[] goCommand = goCommandString.replaceAll(""\\[|\\]"", """").split("","");
        String direction = goCommand[0];
        int steps = Integer.parseInt(goCommand[1]);
        int newX = robotX;
        int newY = robotY;

        if (direction.equals(""no"")) {
            newY += steps;
        } else if (direction.equals(""ea"")) {
            newX += steps;
        } else if (direction.equals(""so"")) {
            newY -= steps;
        } else if (direction.equals(""we"")) {
            newX -= steps;
        }

        for (int[] obstacle : obstacles) {
            int x1 = obstacle[0];
            int y1 = obstacle[1];
            int x2 = obstacle[2];
            int y2 = obstacle[3];
            if ((newX >= x1 && newX <= x2 && newY == robotY) ||
                    (newY >= y1 && newY <= y2 && newX == robotX)) {
                newX = Math.min(Math.max(newX, 0), gridWidth);
                newY = Math.min(Math.max(newY, 0), gridHeight);
                break;
            }
        }

        robotX = newX;
        robotY = newY;
        return ""("" + robotX + "","" + robotY + "")"";
    }
}

package thkoeln.st.st2praktikum.exercise;

public interface GoAble {
    String goTo(String goCommandString);
}
"
gpt3.5,styled,,"package thkoeln.st.st2praktikum.exercise;

public class Exercise0 implements GoAble {
    public String goTo(String goCommandString) {
        String direction = goCommandString.substring(1,3);
        int steps = Integer.parseInt(goCommandString.substring(4, goCommandString.length() - 1));
        int x = 11, y = 7;
        int maxX = 12, maxY = 8;
        int[][] obstacles = {{6,2,6,5},{5,5,6,5},{5,5,5,6},{5,6,12,6}};
        for (int i = 0; i < steps; i++) {
            switch(direction) {
                case ""no"":
                    y++;
                    break;
                case ""ea"":
                    x++;
                    break;
                case ""so"":
                    y--;
                    break;
                case ""we"":
                    x--;
                    break;
            }
            if (x < 0 || x >= maxX || y < 0 || y >= maxY) {
                switch(direction) {
                    case ""no"":
                        y--;
                        break;
                    case ""ea"":
                        x--;
                        break;
                    case ""so"":
                        y++;
                        break;
                    case ""we"":
                        x++;
                        break;
                }
                break;
            }
            for (int j = 0; j < obstacles.length; j++) {
                int x1 = obstacles[j][0];
                int y1 = obstacles[j][1];
                int x2 = obstacles[j][2];
                int y2 = obstacles[j][3];
                if (x == x1 && y >= y1 && y <= y2) {
                    y = y2 + 1;
                    break;
                } else if (x == x2 && y >= y1 && y <= y2) {
                    y = y1 - 1;
                    break;
                } else if (y == y1 && x >= x1 && x <= x2) {
                    x = x2 + 1;
                    break;
                } else if (y == y2 && x >= x1 && x <= x2) {
                    x = x1 - 1;
                    break;
                }
            }
        }
        return ""("" + x + "","" + y + "")"";
    }
}

package thkoeln.st.st2praktikum.exercise;

public interface GoAble {
    String goTo(String goCommandString);
}
"
