"filename", "language", "YAML", "JSON", "XML", "Markdown", "Java", "comment", "blank", "total"
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\.gitlab-ci.yml", "YAML", 7, 0, 0, 0, 0, 0, 3, 10
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\README.md", "Markdown", 0, 0, 0, 73, 0, 0, 33, 106
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\pom.xml", "XML", 0, 0, 81, 0, 0, 0, 7, 88
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\ProjectApplication.java", "Java", 0, 0, 0, 0, 9, 4, 5, 18
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\Barrier.java", "Java", 0, 0, 0, 0, 42, 3, 19, 64
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\Command.java", "Java", 0, 0, 0, 0, 79, 4, 15, 98
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\CommandType.java", "Java", 0, 0, 0, 0, 9, 0, 2, 11
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\Connection.java", "Java", 0, 0, 0, 0, 37, 0, 17, 54
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\Controller.java", "Java", 0, 0, 0, 0, 24, 0, 8, 32
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\CrudRepository.java", "Java", 0, 0, 0, 0, 10, 0, 3, 13
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\Environment.java", "Java", 0, 0, 0, 0, 35, 0, 18, 53
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\Exceptions\UnsopportedBarrierException.java", "Java", 0, 0, 0, 0, 6, 0, 3, 9
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\Point.java", "Java", 0, 0, 0, 0, 54, 0, 22, 76
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\Robot.java", "Java", 0, 0, 0, 0, 93, 0, 37, 130
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\Room.java", "Java", 0, 0, 0, 0, 85, 0, 41, 126
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\TidyUpRobotService.java", "Java", 0, 0, 0, 0, 32, 53, 14, 99
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\TransportCategory.java", "Java", 0, 0, 0, 0, 22, 0, 13, 35
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\java\thkoeln\st\st2praktikum\exercise\Vector.java", "Java", 0, 0, 0, 0, 21, 0, 13, 34
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\resources\E2.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 5
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\resources\E3.md", "Markdown", 0, 0, 0, 24, 0, 0, 0, 24
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\main\resources\application.yml", "YAML", 8, 0, 0, 0, 0, 2, 2, 12
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\test\java\thkoeln\st\st2praktikum\exercise\E1MovementTests.java", "Java", 0, 0, 0, 0, 123, 0, 30, 153
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\test\java\thkoeln\st\st2praktikum\exercise\E1ValueObjectParsingTests.java", "Java", 0, 0, 0, 0, 44, 0, 13, 57
"c:\Dropbox\Studium\6_Semester\ST2\M3\st2-praktikum_group_97b7506f-cf9b-4e0e-bd2e-855d9c03bcf4\src\test\java\thkoeln\st\st2praktikum\exercise\E1ValueObjectValidationTests.java", "Java", 0, 0, 0, 0, 32, 0, 11, 43
